	team_number1	team_number2	team_number3	score_mean	prob_win
0	frc2996	frc1619		59.55555555555556	0.7724861068061291
1	frc2996	frc4005	frc1619	58.44444444444445	0.7579138562975682
2	frc2996	frc4523	frc1619	57.81481481481482	0.7388300463134865
3	frc2996	frc4293	frc1619	57.77777777777778	0.7450297555959903
4	frc2996	frc2410	frc1619	57.59259259259259	0.7372025289570664
5	frc2996	frc2341	frc1619	57.370370370370374	0.7357741853645777
6	frc2996	frc4499	frc1619	57.111111111111114	0.7338591195383987
7	frc2996	frc1561	frc4293	54.074074074074076	0.676100084073258
8	frc2996	frc4550	frc4293	53.629629629629626	0.6696935756687368
9	frc2996	frc3247	frc4499	52.96296296296296	0.646448679829318
10	frc2996	frc1410	frc4499	52.629629629629626	0.6499235445613597
11	frc2996	frc4522	frc4499	52.629629629629626	0.6482241239762149
13	frc2996	frc932	frc4499	52.518518518518526	0.6464964050971521
12	frc2996	frc5730	frc4499	52.518518518518526	0.634221035372592
14	frc2996	frc5930	frc4499	52.18518518518519	0.6383116892899602
15	frc2996	frc6891	frc4499	52.111111111111114	0.6384522172177339
16	frc2996	frc5889	frc4499	52.074074074074076	0.6446268403172117
17	frc2996	frc2461	frc4499	51.96296296296296	0.640688151945005
18	frc2996	frc2765	frc4499	51.888888888888886	0.6253654065617088
19	frc2996	frc5098	frc4499	51.851851851851855	0.6302034661424692
20	frc2996	frc2354	frc4499	51.7037037037037	0.6301627471998748
21	frc2996	frc31	frc4499	51.666666666666664	0.631374696755919
22	frc2996	frc5578	frc1561	51.18518518518519	0.6135694996294386
23	frc2996	frc4418	frc1561	51.03703703703704	0.6107868503589969
24	frc2996	frc2723	frc1561	50.96296296296296	0.607409475861792
25	frc2996	frc7744	frc1561	50.925925925925924	0.6087973886875306
26	frc2996	frc3593	frc1561	50.888888888888886	0.611862019249355
28	frc2996	frc3457	frc1561	50.74074074074074	0.6076513826248052
27	frc2996	frc662	frc4550	50.2962962962963	0.5903835120486559
29	frc2996	frc5550	frc4550	50.25925925925926	0.5942953185989172
31	frc2996	frc3163	frc4550	50.03703703703704	0.5909446539317135
30	frc2996	frc3931	frc4550	50.03703703703704	0.5892777792211902
32	frc2996	frc2373	frc4550	50.0	0.593200576371233
33	frc2996	frc6809	frc4550	49.925925925925924	0.5952384095669516
34	frc2996	frc7464	frc4550	49.74074074074074	0.5958172816510049
35	frc2996	frc6800	frc4550	49.7037037037037	0.584953824110246
36	frc2996	frc2424	frc4550	49.59259259259259	0.5849560571611025
39	frc2996	frc1209	frc4550	49.18518518518518	0.5830889570136691
37	frc2996	frc2795	frc932	49.14814814814815	0.5653713466457868
38	frc2996	frc2395	frc932	49.0	0.5660343505550497
43	frc2996	frc2333	frc932	48.62962962962964	0.5661580182070214
40	frc2996	frc4500	frc5889	48.22222222222222	0.5617215594123787
42	frc2996	frc6464	frc5889	48.22222222222222	0.561335500072731
41	frc2996	frc3612	frc5889	48.22222222222222	0.5561105621464337
44	frc2996	frc3160	frc5889	48.14814814814815	0.5569760470613861
45	frc2996	frc3465	frc5889	48.111111111111114	0.5550808416420426
46	frc2996	frc6026	frc5889	48.0	0.5589204661469734
47	frc2996	frc2165	frc5889	47.96296296296296	0.5575680172405325
49	frc2996	frc2359	frc5889	47.7037037037037	0.5594197468008636
48	frc2996	frc7473	frc2461	47.629629629629626	0.5466416046052043
50	frc2996	frc1750	frc2461	47.51851851851851	0.5362303857964541
51	frc2996	frc3179	frc2461	47.48148148148149	0.5395606967341545
53	frc2996	frc3507	frc2461	47.370370370370374	0.5354764802232291
52	frc2996	frc2352	frc2461	47.370370370370374	0.5321256984258703
54	frc2996	frc3152	frc2461	47.11111111111111	0.539242841984354
55	frc2996	frc2398	frc2461	47.03703703703704	0.5378389833650762
56	frc2996	frc2986	frc2461	46.888888888888886	0.5389557374540526
57	frc2996	frc5621	frc2461	46.666666666666664	0.5334356718710835
58	frc2996	frc6900	frc31	45.74074074074074	0.507524608465509
59	frc2996	frc4959	frc31	45.59259259259259	0.5090424108143808
60	frc2996	frc2773	frc31	45.14814814814815	0.5121191607068805
